# CS2 抽奖模拟器 · 游戏大题库
# 格式：分类|题干|选项A|选项B|选项C|选项D|正确序号(0-3)|解析
# 以 # 开头的行会被忽略；每行一道题；字段内不可含竖线。

Riddle Joker|《RIDDLE JOKER》中，周防恭平是怎样的角色？|秘密组织派出的特工|橘花学院的理事长|七海的养父|友善的同班男同学，仅凭容貌被当成女孩子时会生气|3|周防恭平是主人公的同班男同学，为人友善，但仅凭容貌被当成女孩子时会生气。
Riddle Joker|《RIDDLE JOKER》中，柿本香里在学院中的身份是？|主人公们的同班同学|主人公们的班主任老师，同时也研究星幽能力|宿舍寮长|主人公的养母|1|柿本香里是学院的班主任老师，既是教师，也在研究星幽能力。
Riddle Joker|《RIDDLE JOKER》中，橘花学院理事长伊势笃纪对星幽能力的理念是什么？|成为能力者与一般社会之间的桥梁|彻底消灭所有星幽能力|让能力者统治一般社会|向一般社会隐瞒星幽能力的存在|0|伊势笃纪对星幽能力持肯定态度，理念是「成为能力者与一般社会之间的桥梁」，并为学院的设立尽力。
Riddle Joker|《RIDDLE JOKER》的关键剧情转折是什么？|主人公被理事长当场识破身份|七海向全班同学公开了组织的秘密|因一场意外，主人公的身份被三司绫濑识破，同时绫濑自己的秘密也暴露了|茉優放弃留级，毕业后离开学院|2|剧情中因一场意外，主人公身份被同班的三司绫濑识破，同时绫濑自己的秘密也暴露出来。
魔法少女的魔女审判|《魔法少女的魔女审判》中，大魔女 月代雪 与主人公们的关系，下列哪一项描述正确？|她是艾玛与希罗的小学班主任，后来成为牢屋敷的看守长|她是艾玛与希罗的中学时代朋友，当时遭严重霸凌，留下两人自杀|她是艾玛的亲姐姐，因魔女化失败而被关进牢屋敷|她是 狱长猫头鹰 的旧识，专门负责散布特拉德基姆|1|大魔女月代雪（CV 名冢佳织）是治理魔女之岛的大魔女唯一幸存者，幼时魔法才能最优；她是艾玛与希罗的中学时代朋友，当时遭严重霸凌，留下艾玛与希罗自杀。她把自己的灵魂转化为魔女因子，完成了「人类会变成魔女而死」的诅咒。梅露露 口中的「大魔女大人」也是她。
魔法少女的魔女审判|关于魔女裁判的规则，下列哪一项描述正确？|裁判有票数限制，票数分裂时必须重新投票直到全体一致|指出证言矛盾出错会被立刻处刑，因此不能试错|即使处刑对象选错，只要之后找出真犯人就能免于处罚|如果处刑错了魔女（选错处刑对象），则全员都会被处刑|3|游戏内说明：如果处刑错了魔女（选错处刑对象），则全员都会被处刑。另一方面，攻略站指出裁判中的指摘错误几乎没有游戏内惩罚（会退回讨论开头，穷举所有选项终能到达正确答案）。
魔法少女的魔女审判|《魔法少女的魔女审判》中，关于被收容在牢屋敷的囚人，下列哪一项与已核实的事实相符？|共 12 名少女，囚人番号从 660 到 671|共 13 名 15 岁的少女，囚人番号 658 到 670 连号|共 13 名少女，年龄与囚人番号均不固定|共 13 名 15 岁的少女，囚人番号 670 到 682 连号|1|囚人为 13 名 15 岁的少女，被认定「持有强烈的魔女因子／有可能是会给世界带来害处的魔女」而强制收容，囚人番号 658 至 670 连号。除艾玛外全员生日都不同。
魔法少女的魔女审判|《魔法少女的魔女审判》中，13 名少女中，自称「大叔」的是谁？|佐伯米莉亚|夏目安安|宝生玛格|泽渡可可|0|佐伯米莉亚（CV 高森奈津美）是白辣妹风外表、性格沉稳老实的少女，喜欢看老电影，自称「大叔」，虽然很会照顾人却几乎不谈自己的事。
魔法少女的魔女审判|《魔法少女的魔女审判》中，关于前三次裁判的被害者与犯人，下列哪一项组合正确？|第2裁判：被害者 佐伯米莉亚，犯人 夏目安安|第2裁判：被害者 夏目安安，犯人 佐伯米莉亚|第3裁判：被害者 远野汉娜，犯人 紫藤亚里沙|第1裁判：被害者 莲见蕾雅，犯人 城崎诺亚|0|第1裁判为被害者 城崎诺亚、犯人 莲见蕾雅；第2裁判为被害者 佐伯米莉亚、犯人 夏目安安；第3裁判为被害者 远野汉娜、犯人 橘雪莉。米莉亚 为护艾玛谎称自己已与艾玛交换灵魂，安安 信了这句谎而杀了米莉亚。
魔法少女的魔女审判|《魔法少女的魔女审判》中，13 名少女中，谁的魔法是【死后回溯】（死而复返）？|樱羽艾玛，囚人番号 658|二阶堂希罗，囚人番号 659|泽渡可可，囚人番号 669|冰上梅露露，囚人番号 670|1|二阶堂希罗（CV 東雲春）囚人番号 659，原罪「正义的执行者」，魔法为【死后回溯】：自身死亡时回到死前一段时间。该魔法在本篇中只用过 2 次，对她而言自杀是禁忌，因此无法自由使用。
魔法少女的魔女审判|《魔法少女的魔女审判》中，第2章中主人公视点由 樱羽艾玛 切换为 二阶堂希罗，其直接原因是什么？|狱长猫头鹰 在裁判中指定希罗 为新的主人公|艾玛 被冤罪处刑而死亡，故事改由希罗 叙述|希罗 的【死后回溯】魔法引发了一次时间倒流|艾玛 的【魔女杀手】误发动，使自己的记忆被封印|2|第2章因二阶堂希罗 的【死后回溯】魔法发生了一次时间倒流，主人公视点切换为二阶堂希罗（标题画面封面也随之更换）。所谓「二周目」是故事内的时间回溯，不是独立的游戏路线。
魔法少女的魔女审判|《魔法少女的魔女审判》中，治理魔女之岛的大魔女唯一幸存者、被 梅露露 称作「大魔女大人」的是谁？|月代雪，CV 名冢佳织|月代雪，CV 中尾隆聖|狱长猫头鹰，CV 名冢佳织|柊優花，CV 月代雪|0|大魔女是月代雪（中文名「月代雪」），CV 为名冢佳织。她是梅露露 口中的「大魔女大人」，梅露露 是被她变成魔女的。
魔法少女的魔女审判|《魔法少女的魔女审判》中，关于能杀死魔女的药，下列哪一项描述正确？|名叫特拉德基姆，名称来自拉丁语的「13」，剧中 梅露露 把它交给了求死的紫藤亚里沙|名叫特拉德基姆，名称来自拉丁语的「14」，剧中 狱长猫头鹰 把它交给了紫藤亚里沙|名叫特拉德基姆，名称来自希腊语的「13」，剧中 梅露露 把它交给了橘雪莉|名叫特拉德基姆，是让魔女化者失去魔法的药，剧中 可可 把它交给了远野汉娜|0|特拉德基姆 是能确实杀死「已魔女化的少女或持有魔女因子者」的药，名称源自拉丁语的「13」，与需要 13 人牺牲的魔女裁判密切相关。剧情用例：梅露露 把它交给求死的紫藤亚里沙（她饮后死亡）；泽渡可可 曾打算把它用在「魔女化异形」（原姊）身上。
魔法少女的魔女审判|《魔法少女的魔女审判》中，关于安息日仪式，下列哪一项描述正确？|需要 3 人魔女化，目的是让狱长猫头鹰 复活|需要 13 人全员魔女化，目的是召唤大魔女|需要 13 人全员魔女化，目的是让时间倒流|需要 12 人魔女化，目的是让冰上梅露露 复活|1|安息日仪式 需要 13 人全员的魔女化，目的是召唤大魔女；第2章第5话的 ADV 部分中可获得道具「仪礼剑」。13 参与人数、药名来自 13、囚人番号到 670，「13」是全作的核心数字。
魔法少女的魔女审判|《魔法少女的魔女审判》中，主人公 樱羽艾玛 的魔法是什么，其效果如何？|【视线诱导】，固定对象的视线|【幻視】，看见所触碰之物的过去与未来影像|【魔女杀手】，使人类体内被植入的魔女因子发现，导致其魔女化并死亡|【治療】，一瞬间治好包括无机物在内的一切|2|樱羽艾玛（CV 三木谷奈）囚人番号 658，一人称「僕」，魔法为【魔女杀手】：该魔法发动后，人类体内被植入的魔女因子会发现，导致人类魔女化并死亡。【视线诱导】是莲见蕾雅、【幻視】是黑部奈叶香、【治療】是冰上梅露露 的魔法。
魔法少女的魔女审判|关于《魔法少女的魔女审判》的结局结构，下列哪一项描述正确？|主线结局只有 1 种，唯一分歧是最终章的「安息日仪式 举行／不举行」，选「不举行」到达 BAD END|主线结局有 3 种，分别对应 3 位不同的黑幕|主线结局有 2 种，由第1章开头是否相信希罗 决定|主线结局只有 1 种，全程没有任何选项分歧与 BAD END|0|主线结局只有 1 种（一本道），结局本身没有分歧；唯一的分歧是第2章第5话／最终章 ADV 部分的选项「安息日仪式 举行／不举行」，选「不举行」到达唯一的带专用 CG 的 BAD END，并播放蓝月那库露 演唱的 BAD END 曲「爱的残渣」。
魔法少女的魔女审判|《魔法少女的魔女审判》中，最终章中，月代雪 最后发动的魔法内容与结果是下列哪一项？|把全世界的魔女因子聚集到自身并使其无效化，自身消灭，冰上梅露露 也一同消失|把全世界的魔女因子分给 13 名少女，自己作为大魔女继续存在|只无效化牢屋敷内的魔女因子，自身存活并与艾玛、希罗和解|把全世界的魔女因子封入狱长猫头鹰 体内，自己返回魔女之岛|0|最终章经过最后的魔女裁判与说服后，月代雪 发动「把全世界的魔女因子聚集到自身并使其无效化」的魔法，消去全世界的诅咒、拯救魔法少女，但这意味着雪 自身消灭，她接受了这一命运；身旁的冰上梅露露 也一同消失，临终悔罪。
常轨脱离|《常轨脱离Creative》官方宣传的作品概念是什么？|「不登校」×「运动」（不上学×体育）|「Creative」×「不登校」（创作×不上学）|「Creative」×「社团活动」（创作×社团）|「转学生」×「大小姐」（转学生×大小姐）|1|官方 INTRODUCTION 提出的概念是「创作×不上学」：女主角们全是不上学的学生，背地身份都是人气创作者。
常轨脱离|《常轨脱离Creative》故事的主要舞台是哪所学园与哪座城市？|百合峰学园与千玉市|千玉学园与夏葉原市|千玉学园与千玉市|聖桜学園与金座市|2|故事舞台为千玉学园与千玉市；百合峰学园是圣莉子所在的他校千金学校，夏葉原、金座是捏他地名。
常轨脱离|《常轨脱离Creative》中，主人公和泉智宏为什么会当上学生会长？|在学生会选举中得票最多|前任会长直接指名他继承|班主任和泉里强行任命他|学园举行抽签决定学生会长的「学生会长抽签」，他抽中了当签|3|学园方面突发奇想举行「学生会长抽签」，智宏以豪运抽中当签，被当场宣布为下一任学生会长。
常轨脱离|《常轨脱离Creative》中，和泉妃爱的身份与创作技能是什么？|智宏的妹妹兼当红声优，创作技能为「声優」|智宏的姐姐兼当红声优，创作技能为「声優」|智宏的妹妹兼职业小说家，创作技能为「小説家」|智宏的表姐兼读者模特，创作技能为「时装模特」|0|妃爱是智宏的妹妹，童星出身的当红声优，创作技能标注为「声優」。
常轨脱离|《常轨脱离Creative》中，常磐华乃作为本年度转学生，真实身份是什么？|当红 VTuber，创作技能为「Vtuber」|当红插画师，创作技能为「插画师」|职业小说家，创作技能为「小説家」|读者模特，创作技能为「时装模特」|1|华乃是本年度转入智宏班级的转学生，真实身份是当红插画师，创作技能为「插画师」。
常轨脱离|《常轨脱离Creative》中，锦明日海背地里以什么名义活动？|插画师「野野香」|声优「和泉妃爱」|VTuber「雪景四季」|小说家「镰仓诗樱」|2|明日海背地里以 VTuber「雪景四季」的名义活动，创作技能为「Vtuber」；「野野香」是华乃担任雪景四季插画师时使用的名义。
常轨脱离|《常轨脱离Creative》中，镰仓诗樱的两个身份是什么？|现任学生会长兼职业小说家|前学生会长兼当红插画师|现任副会长兼当红声优|前学生会长兼职业小说家|3|诗樱是让智宏被抽中的元凶，同时是前学生会长与职业小说家，创作技能为「小説家」。
常轨脱离|龙闲天梨在《常轨脱离Creative》中的定位是什么？|初代为副角色，在《凸》中升格为可攻略女主角|初代即可攻略女主角，在《凸》中降为副角色|初代与《凸》中都是不可攻略的副角色|初代是主人公，在《凸》中成为副角色|0|天梨初代为副角色（智宏的同级生、读者模特），在《凸》中升格为第 5 位可攻略女主角。
常轨脱离|《常轨脱离Creative》中，和泉里与和泉智宏是什么关系？她担任什么职务？|智宏的亲姐姐，兼他的班主任与学生会顾问|智宏的表姐，兼他的班主任与学生会顾问|智宏的表姐，兼他的学园长与学生会顾问|智宏的表妹，兼他的班主任与学生会顾问|1|和泉里是智宏的表姐（従姉），担任他班级的班主任并兼任学生会顾问。
常轨脱离|新川宏梦在《常轨脱离Creative》中是怎样的角色？|智宏的同班女同学，坐在他前面的座位|他校百合峰学园的学生会长|智宏的同班男同学，坐在他后面的座位|千玉学园的学园长|2|新川宏梦是坐在智宏座位后面的同班男生，长相可爱到简直像女孩子。
常轨脱离|《常轨脱离Creative》中，圣莉子是哪所学校的学生会长？|千玉学园|聖桜学園|夏葉原学園|百合峰学园|3|圣莉子是千玉首屈一指的千金小姐学校百合峰学园的学生会长，对诗樱抱有竞争意识。
星空列车与白的旅行|《星空列车与白的旅行》中，列车上的猫耳少女诺瓦，官方设定特别强调她的哪一点|记得所有乘客的名字|能独自驾驶列车|会说流利的瑞典语|没有记忆，自己也搞不清身份|1|官方设定写明诺瓦长着猫耳和尾巴却毫不在意，没有记忆、总是发呆、身份不明，十分黏主人公。
星空列车与白的旅行|自称星空列车车掌兼本次旅行导游的角色是|狩叶|诺瓦|花江|音理|0|狩叶自称车掌兼本次旅行导游，全名自称狩叶·朗姆柯妮，第一人称为「我」。
星空列车与白的旅行|《星空列车与白的旅行》中，与诺瓦同乘列车、因烟瘾很大而不敢靠近怕烟的诺瓦的乘客是|鹰世|花江|野鸟|音理|3|花江是同乘列车的美人，属于重度烟瘾者，因此不太好靠近怕烟的诺瓦，还会托人替她向诺瓦道歉。
星空列车与白的旅行|《星空列车与白的旅行》中，乘客「野鸟」其实是绰号，他的本名是|猫村春香|鹰世市藏|风又音理|珍妮弗·玛尼欧德|1|野鸟是绰号，本名为珍妮弗·玛尼欧德，官方简中译作珍妮弗·玛尼欧德。
星空列车与白的旅行|《星空列车与白的旅行》中，乘客野鸟在官方设定中的形象是|自称列车车掌的少女|总在最后一排看星星的男人|来自瑞典、性格开朗、说话带片假名腔|沉默寡言、从不与人交谈|2|野鸟是开朗的「片假名腔」瑞典人，初学日语，因常说要去吃野鸟料理而被朋友取了「野鸟」这个外号。
星空列车与白的旅行|《星空列车与白的旅行》中，乘客鹰世在列车上的标志性举动是|总是坐在最后一排座位上看星星|一直待在餐车里做饭|总在车厢里打扫卫生|总在记录乘客的名单|0|鹰世的官方设定是总在最后一排座位上看星星、有种不食人间烟火感觉的男人。
星空列车与白的旅行|《星空列车与白的旅行》中，关于角色音理，官方设定给出的全部信息是|在终点站等候主人公的医生|谜之少女，主人公似乎在哪里见过她|主人公的青梅竹马与同班同学|列车上的第二位乘务员|3|官方对音理的介绍只有一句：谜之少女，主人公觉得似乎在哪里见过她，这份既视感正是重要的伏笔。
星空列车与白的旅行|《星空列车与白的旅行》的主人公钟城晓的职业与梦想是|铁路公司的站务员，想当上站长|专门画铁路风景的画家，想办个展|动画师，梦想将来当上监督做自己的动画|蒸汽机车的维修技师，想复原老机车|2|官方设定写明晓是不起眼的动画师，目标是将来当上监督、创作自己的动画，他偶然申请的铁路旅行中选而踏上旅途。
星空列车与白的旅行|《星空列车与白的旅行》中，星空铁路那趟列车的日文官方名称是|银河特快|夜曲号|星轨|银河号|1|列车日文官方名为银河号（Milky Way），官方简体中文页与Steam中文版将其译作「银河号」。
星空列车与白的旅行|《星空列车与白的旅行》中，诺瓦体内的器官来自哪些人|来自音理以及包括晓在内的其他几位乘客|只来自音理一人|来自狩叶与花江两人|来自医院里素不相识的匿名捐赠者|0|剧情点明诺瓦体内不只有音理的心脏，还有其他四人包括晓在内的器官，这份愧疚正是她痛苦的根源。
少女＊领域|《少女＊领域》中，主角们就读的学校与居住的宿舍分别是？|白鈴女子学園与第二寮|鈴学院与第一寮|白鈴女子学園与第一寮|聖蘭女子学園与第二寮|0|舞台是西园寺家经营、风莉以学生身份兼任理事长的白鈴女子学園，凑等人住在白鈴女子学園第二寮，管理人为那波七海。
少女＊领域|关于《少女＊领域》主线基调的说明，下列哪一项最准确？|悬疑推理，围绕学园连续失踪事件展开|战斗奇幻，主角们与魔王军四天王正面对决|日常系爱情喜剧，为实现风莉「想让学园变得更有趣」的愿望而解决学园内各种小问题|硬核军事题材，描写学园自治与政变|2|故事基调是日常系：理事长风莉希望学园变得更有趣，凑等人为此处理学园里的各种小问题，与吐槽点满满的大小姐们展开鸡飞狗跳的爱情喜剧。
少女＊领域|《少女＊领域》主角飞鸟凑的身份设定是？|女校里唯一女扮男装的学生|女校唯一的男生，穿女装入学|男校里唯一的女生|以教师身份潜入女校的成年男性|1|凑是男性，被风莉收留后穿上女生制服进入女校，是该校唯一以女装身份就读的男生，且不靠垫胸也不会露馅，全语音连主角也有配音。
少女＊领域|《少女＊领域》中，凑之所以住进女校宿舍并入学，直接起因是？|他抽中了奖学金留学名额|他参加女装比赛获胜|他被父亲强制送进女子学校|唯一亲人祖母去世后无依无靠，被西园寺风莉收留照顾|3|凑的唯一亲人祖母去世后无处可去，同级生大小姐西园寺风莉提出照顾他，让他住进自家女校并办理入学。
少女＊领域|《少女＊领域》中，西园寺风莉在学园里的特殊身份是？|只担任学生会会长|图书委员长|以学生身份兼任自家女校的理事长|从校外来的实习教师|2|风莉是大财阀大小姐，既是学生又担任自家经营的白鈴女子学園理事长，还让凑女装入学并与他同房。
少女＊领域|《少女＊领域》中，关于西园寺风莉真实性格的描述，下列哪一项符合设定？|强势精干，从不出错|怕生、迟钝、路痴又笨拙，放着不管会令人不安|冷酷毒舌，喜欢捉弄凑|因极度怕生而长期缺席学园|1|她外表是清秀美丽的高岭之花，实为怕生、迟钝、路痴、笨拙的「废柴大小姐」，官方宣传语称其「冷酷的理事长，内里是废柴大小姐」。
少女＊领域|《少女＊领域》中，下列哪一项是贵船柚子的性格特征？|看似理想的大和抚子，实则积极好动，房间脏乱且料理超级难吃|沉默寡言，整天待在图书室读书|中二病严重，自称魔王军四天王之一|极度认真，讨厌垃圾食品，擅长所有家务|0|柚子看似大和抚子，实则积极好动、不擅长琐事，房间是脏乱的「脏房间」，料理是兴趣却超级难吃，官方宣传语称其「虽是传统大和抚子，却是个做饭难吃的大小姐」。
少女＊领域|《少女＊领域》中，在大垣日向的中二病设定中，她自称的名号是？|白铃的魔女莉莉丝|深渊骑士亚瑟|圣银的公主赛拉菲姆|东方将军查拉图斯特拉|3|她自称「东方将军查拉图斯特拉」，并自称魔王军四天王之一，设定频繁变更；本性是老实的乖孩子，被骂会哭着道歉。
少女＊领域|《少女＊领域》中，皆见美结在班上的位置与所属社团是？|凑的班主任兼第二寮管理人|坐在凑邻座的同班同学，新闻部成员|比凑低一学年的学妹，图书委员|与凑同班的班长，学生会成员|1|美结身高 154cm，是坐在凑邻座的同级生、新闻部成员，开朗可靠又会照顾人，与柚子是好朋友。
少女＊领域|那波七海在《少女＊领域》中的职务与口头禅是？|班主任兼数学教师、第二寮管理人，口头禅「不想干活」|理事长秘书兼保健医生，口头禅「麻烦死了」|图书委员顾问兼英语教师，口头禅「明天自有明天的风」|宿舍管理人兼体育教师，口头禅「年轻真好啊」|0|七海是凑所在班级的班主任、任教数学，兼任第二寮管理人，口头禅是「不想干活」，座右铭为「今天能做的事不要拖到明天」。
魔女的夜宴|本作《魔女的夜宴》（魔女的夜宴）由哪家公司开发，是其旗下的第几部作品？|柚子社的第 12 作|HIKARI FIELD 的第 8 作|柚子社的第 8 作|NekoNyan 的第 8 作|2|本作由柚子社（柚子社）开发，是该公司第 8 部作品，使用吉里吉里（Kirikiri）引擎，官方宣布全球销量突破 30 万本。
魔女的夜宴|《魔女的夜宴》故事的主要舞台是哪所学校，中心社团又是什么？|姬松学院与美术部|私立樱丘学园与超自然研究部|姬松学院与轻音部|姬松学院与超自然研究部|3|舞台为姬松学院，中心社团是超自然研究部（超自然研究部，简称超研），部长为绫地宁宁。
魔女的夜宴|《魔女的夜宴》中，关于绫地宁宁，下列叙述何者正确？|她是 1 年级学生，用大锤采集心之碎片|她的愿望是让已售罄的衣服再贩|她是 2 年级的偶像级人气者、超自然研究部部长，也是与相马七绪缔结契约的魔女|她的契约代价是被迫男装|2|宁宁是柊史同班同学、2 年级偶像级人气者与超研部长，魔女契约对象是艾尔普相马七绪；愿望是让父母离婚这件事没发生过，代价是不受控制地强制发情，用魔法枪采集心之碎片；愿望一旦实现，她的存在与记忆会从那个世界被彻底抹消。
魔女的夜宴|《魔女的夜宴》中，关于因幡巡，下列叙述何者正确？|她是一年级学生，自创招呼语「恰啰☆（Ciallo）」|她是三年级学生，担任学生会长|她是魔女，契约对象是赤城|她的愿望是让父母离婚这件事没发生过|0|巡是 1 年级学生，因生病错过高中出道、交友失败而来求助；辣妹打扮是高中出道的结果，实际是喜欢一个人玩游戏的室内派，常玩怪物猎人与乙女游戏，自创招呼语「恰啰☆（Ciallo）」。
魔女的夜宴|《魔女的夜宴》中，关于椎叶䌷，下列叙述何者正确？|她是一年级学生，契约代价是强制发情|她的愿望是让父母离婚这件事没发生过|她用魔法枪采集心之碎片|她是 2 年级中盘转学的魔女，契约对象是艾尔普赤城|3|䌷是 2 年级故事中盘转学的魔女，与艾尔普赤城缔结契约；代价是被迫男装，穿女装会身体不适甚至呕吐，本人却喜欢可爱女装；愿望是让已售罄的那件衣服再贩一次，用大锤采集心之碎片，绰号「䌷妈」。
